Ticker,rentabilidad_media
AAPL,0.001345028388836682
ADBE,-0.0007812742092970381
AMZN,0.0017152739699236705
BAC,0.0012379764150852845
CRM,0.0013710681541358398
CSCO,0.0008271173822174225
DIS,0.000968617614870368
GOOGL,0.001471215277045712
HD,0.0006643103409375808
INTC,-0.002913068508146576
JNJ,-0.0002699666226074839
JPM,0.0015234397913272248
KO,0.00029761854065389224
MA,0.0009522796249510139
META,0.00241333433485149
MSFT,0.000652709192249743
NFLX,0.0027871518118829197
NVDA,0.004745300885111604
PEP,-0.0003441754918707263
PG,0.000608233165745375
TSLA,0.002861613553525386
UNH,-3.061761964859056e-05
V,0.0008766252045842586
WMT,0.002247424667775827
XOM,0.0003370807808971703
